,SERCA.g_SERCA,CaRU.J_L,Na_Ca_Exchanger.g_NCX,Ca_independent_transient_outward_K_current.g_t,steady_state_outward_K_current.g_ss,sodium_potassium_pump.i_NaK_max
1000,0.0003690823474465741,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
950,0.00037233764226184937,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
900,0.00037595463650104416,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
850,0.0003799971594742619,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
800,0.0003845449978191318,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
750,0.0003896992146099844,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
700,0.0003955897480852444,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
650,0.0004023865174797753,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
600,0.00041031608177339457,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
550,0.0004196873850294902,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
500,0.00043093294893680487,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
450,0.0004446775270457451,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
400,0.0004618582496819202,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
350,0.0004839477502141455,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
300,0.000513400417590446,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
250,0.0005546341519172664,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
200,0.0006164847534074972,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
190,0.0006327612274838738,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
180,0.0006508461986798477,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
170,0.0006710588135459362,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
160,0.0006937980052702858,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
150,0.0007195690892245485,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
140,0.0007490217566008489,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
130,0.0007830056035735033,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
120,0.0008226534250415998,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
110,0.0008695099413220777,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
100,0.0009257377608586513,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
90,0.0009944606514033518,0.0011540065314881653,0.06278120026218115,1.9226429962029263e-05,4.909566743182418e-06,0.0019350858258559702
